Id unique,Engagement,Source promesse,Détail promesse,Verdict,Détail verdict,Timing,Détail timing,Thématique,Auteur annonce
3,"<p>Création d&rsquo;une banque publique d&rsquo;investissement</p>
<p>&nbsp;</p>
",60 engagements,"<p>Source :&nbsp;<a href=""http://www.scribd.com/doc/93200567/Les-60-engagements-presidentiels-de-Francois-Hollande"" target=""_blank"">Programme de François Hollande, p. 7</a>.</p>
<p>La banque publique d&#39;investissement doit concerner les PME, les filières d&rsquo;avenir et la conversion écologique et énergétique. Le programme de François Hollande parle du rôle clé des régions et d&#39;une part destinée à l&rsquo;économie sociale et solidaire (à hauteur de 500 millions d&#39;euros selon <a href=""http://www.parti-socialiste.fr/communiques/francois-hollande-sengage-pour-leconomie-sociale-et-solidaire-ess"" target=""_blank"">un communiqué du PS du 2 mars 2012</a>).</p>
<p>Dans ses <a href=""http://www.scribd.com/doc/104203318/Les-20-engagements-de-Francois-Hollande-pour-les-quartiers-et-les-territoires-delaisses"" target=""_blank"">20 engagements pour les quartiers et territoires délaissés</a>, François Hollande précise qu&#39;une filiale de la banque sera&nbsp;chargée de soutenir et de développer les projets d&rsquo;entreprises des habitants des quartiers.</p>
",trahi,"<p>Un <a href=""http://leplus.nouvelobs.com/contribution/226206-conflit-d-interets-enfin-les-politiques-ne-deviendront-plus-avocats-aussi-facilement.html"" target=""_blank"">décret du 15 avril 2013</a> supprime le décret-passerelle, mais ne fait aucune mention du nouvel examen de déontologie. Il n&#39;existe donc plus d&#39;accès privilégié à la profession pour les politiques.</p>
",rien,"<p>Le débat sans vote au Parlement n&#39;a pas eu lieu au premier trimestre. Il est <a href=""http://www.lemonde.fr/societe/article/2013/04/10/immigration-economique-l-executif-veut-ouvrir-le-debat-sur-l-attractivite-du-pays_3157184_3224.html"" target=""_blank"">prévu</a> pour les 16 et 24 avril à l&#39;Assemblée et au Sénat.</p>
",14,François Hollande
5,"<p class=""p1"">Le plafond du livret développement durable passe à 12.000 &euro; (futur livret d&#39;épargne industrie.</p>
",60 engagements,"<p>Source :&nbsp;<a href=""http://www.scribd.com/doc/93200567/Les-60-engagements-presidentiels-de-Francois-Hollande"" target=""_blank"">Programme de François Hollande, p. 7</a>.</p>
<p>La banque publique d&#39;investissement doit concerner les PME, les filières d&rsquo;avenir et la conversion écologique et énergétique. Le programme de François Hollande parle du rôle clé des régions et d&#39;une part destinée à l&rsquo;économie sociale et solidaire (à hauteur de 500 millions d&#39;euros selon <a href=""http://www.parti-socialiste.fr/communiques/francois-hollande-sengage-pour-leconomie-sociale-et-solidaire-ess"" target=""_blank"">un communiqué du PS du 2 mars 2012</a>).</p>
<p>Dans ses <a href=""http://www.scribd.com/doc/104203318/Les-20-engagements-de-Francois-Hollande-pour-les-quartiers-et-les-territoires-delaisses"" target=""_blank"">20 engagements pour les quartiers et territoires délaissés</a>, François Hollande précise qu&#39;une filiale de la banque sera&nbsp;chargée de soutenir et de développer les projets d&rsquo;entreprises des habitants des quartiers.</p>
",trahi,"<p>Un <a href=""http://leplus.nouvelobs.com/contribution/226206-conflit-d-interets-enfin-les-politiques-ne-deviendront-plus-avocats-aussi-facilement.html"" target=""_blank"">décret du 15 avril 2013</a> supprime le décret-passerelle, mais ne fait aucune mention du nouvel examen de déontologie. Il n&#39;existe donc plus d&#39;accès privilégié à la profession pour les politiques.</p>
",rien,"<p>Le débat sans vote au Parlement n&#39;a pas eu lieu au premier trimestre. Il est <a href=""http://www.lemonde.fr/societe/article/2013/04/10/immigration-economique-l-executif-veut-ouvrir-le-debat-sur-l-attractivite-du-pays_3157184_3224.html"" target=""_blank"">prévu</a> pour les 16 et 24 avril à l&#39;Assemblée et au Sénat.</p>
",14,François Hollande
7,"<p>Les crédits impôts recherche plus simples et plus accessibles aux PME</p>
",60 engagements,"<p>Source :&nbsp;<a href=""http://www.scribd.com/doc/93200567/Les-60-engagements-presidentiels-de-Francois-Hollande"" target=""_blank"">Programme de François Hollande, p. 7</a>.</p>
<p>La banque publique d&#39;investissement doit concerner les PME, les filières d&rsquo;avenir et la conversion écologique et énergétique. Le programme de François Hollande parle du rôle clé des régions et d&#39;une part destinée à l&rsquo;économie sociale et solidaire (à hauteur de 500 millions d&#39;euros selon <a href=""http://www.parti-socialiste.fr/communiques/francois-hollande-sengage-pour-leconomie-sociale-et-solidaire-ess"" target=""_blank"">un communiqué du PS du 2 mars 2012</a>).</p>
<p>Dans ses <a href=""http://www.scribd.com/doc/104203318/Les-20-engagements-de-Francois-Hollande-pour-les-quartiers-et-les-territoires-delaisses"" target=""_blank"">20 engagements pour les quartiers et territoires délaissés</a>, François Hollande précise qu&#39;une filiale de la banque sera&nbsp;chargée de soutenir et de développer les projets d&rsquo;entreprises des habitants des quartiers.</p>
",trahi,"<p>Un <a href=""http://leplus.nouvelobs.com/contribution/226206-conflit-d-interets-enfin-les-politiques-ne-deviendront-plus-avocats-aussi-facilement.html"" target=""_blank"">décret du 15 avril 2013</a> supprime le décret-passerelle, mais ne fait aucune mention du nouvel examen de déontologie. Il n&#39;existe donc plus d&#39;accès privilégié à la profession pour les politiques.</p>
",rien,"<p>Le débat sans vote au Parlement n&#39;a pas eu lieu au premier trimestre. Il est <a href=""http://www.lemonde.fr/societe/article/2013/04/10/immigration-economique-l-executif-veut-ouvrir-le-debat-sur-l-attractivite-du-pays_3157184_3224.html"" target=""_blank"">prévu</a> pour les 16 et 24 avril à l&#39;Assemblée et au Sénat.</p>
",14,François Hollande
8,"<div style=""background-color: transparent; ""><b id=""internal-source-marker_0.3394810385070741"" style=""font-weight: normal; ""><span style=""font-size: 16px; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-weight: normal; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap; "">Un accès aux commandes publiques garanti pour les PME avec plus de transparence</span></b></div>",60 engagements,"<p>Source :&nbsp;<a href=""http://www.scribd.com/doc/93200567/Les-60-engagements-presidentiels-de-Francois-Hollande"" target=""_blank"">Programme de François Hollande, p. 7</a>.</p>
<p>La banque publique d&#39;investissement doit concerner les PME, les filières d&rsquo;avenir et la conversion écologique et énergétique. Le programme de François Hollande parle du rôle clé des régions et d&#39;une part destinée à l&rsquo;économie sociale et solidaire (à hauteur de 500 millions d&#39;euros selon <a href=""http://www.parti-socialiste.fr/communiques/francois-hollande-sengage-pour-leconomie-sociale-et-solidaire-ess"" target=""_blank"">un communiqué du PS du 2 mars 2012</a>).</p>
<p>Dans ses <a href=""http://www.scribd.com/doc/104203318/Les-20-engagements-de-Francois-Hollande-pour-les-quartiers-et-les-territoires-delaisses"" target=""_blank"">20 engagements pour les quartiers et territoires délaissés</a>, François Hollande précise qu&#39;une filiale de la banque sera&nbsp;chargée de soutenir et de développer les projets d&rsquo;entreprises des habitants des quartiers.</p>
",trahi,"<p>Un <a href=""http://leplus.nouvelobs.com/contribution/226206-conflit-d-interets-enfin-les-politiques-ne-deviendront-plus-avocats-aussi-facilement.html"" target=""_blank"">décret du 15 avril 2013</a> supprime le décret-passerelle, mais ne fait aucune mention du nouvel examen de déontologie. Il n&#39;existe donc plus d&#39;accès privilégié à la profession pour les politiques.</p>
",rien,"<p>Le débat sans vote au Parlement n&#39;a pas eu lieu au premier trimestre. Il est <a href=""http://www.lemonde.fr/societe/article/2013/04/10/immigration-economique-l-executif-veut-ouvrir-le-debat-sur-l-attractivite-du-pays_3157184_3224.html"" target=""_blank"">prévu</a> pour les 16 et 24 avril à l&#39;Assemblée et au Sénat.</p>
",14,François Hollande
16,"<p>Favoriser la production en France avec une modulation fiscale pour les entreprises en fonction des investissements réalisés</p>
",60 engagements,"<p>Source :&nbsp;<a href=""http://www.scribd.com/doc/93200567/Les-60-engagements-presidentiels-de-Francois-Hollande"" target=""_blank"">Programme de François Hollande, p. 7</a>.</p>
<p>La banque publique d&#39;investissement doit concerner les PME, les filières d&rsquo;avenir et la conversion écologique et énergétique. Le programme de François Hollande parle du rôle clé des régions et d&#39;une part destinée à l&rsquo;économie sociale et solidaire (à hauteur de 500 millions d&#39;euros selon <a href=""http://www.parti-socialiste.fr/communiques/francois-hollande-sengage-pour-leconomie-sociale-et-solidaire-ess"" target=""_blank"">un communiqué du PS du 2 mars 2012</a>).</p>
<p>Dans ses <a href=""http://www.scribd.com/doc/104203318/Les-20-engagements-de-Francois-Hollande-pour-les-quartiers-et-les-territoires-delaisses"" target=""_blank"">20 engagements pour les quartiers et territoires délaissés</a>, François Hollande précise qu&#39;une filiale de la banque sera&nbsp;chargée de soutenir et de développer les projets d&rsquo;entreprises des habitants des quartiers.</p>
",trahi,"<p>Un <a href=""http://leplus.nouvelobs.com/contribution/226206-conflit-d-interets-enfin-les-politiques-ne-deviendront-plus-avocats-aussi-facilement.html"" target=""_blank"">décret du 15 avril 2013</a> supprime le décret-passerelle, mais ne fait aucune mention du nouvel examen de déontologie. Il n&#39;existe donc plus d&#39;accès privilégié à la profession pour les politiques.</p>
",rien,"<p>Le débat sans vote au Parlement n&#39;a pas eu lieu au premier trimestre. Il est <a href=""http://www.lemonde.fr/societe/article/2013/04/10/immigration-economique-l-executif-veut-ouvrir-le-debat-sur-l-attractivite-du-pays_3157184_3224.html"" target=""_blank"">prévu</a> pour les 16 et 24 avril à l&#39;Assemblée et au Sénat.</p>
",14,François Hollande
17,Un mouvement de relocalisations des usines des grandes entreprises avec la création d'un contrat spécifique.,60 engagements,"<p>Source :&nbsp;<a href=""http://www.scribd.com/doc/93200567/Les-60-engagements-presidentiels-de-Francois-Hollande"" target=""_blank"">Programme de François Hollande, p. 7</a>.</p>
<p>La banque publique d&#39;investissement doit concerner les PME, les filières d&rsquo;avenir et la conversion écologique et énergétique. Le programme de François Hollande parle du rôle clé des régions et d&#39;une part destinée à l&rsquo;économie sociale et solidaire (à hauteur de 500 millions d&#39;euros selon <a href=""http://www.parti-socialiste.fr/communiques/francois-hollande-sengage-pour-leconomie-sociale-et-solidaire-ess"" target=""_blank"">un communiqué du PS du 2 mars 2012</a>).</p>
<p>Dans ses <a href=""http://www.scribd.com/doc/104203318/Les-20-engagements-de-Francois-Hollande-pour-les-quartiers-et-les-territoires-delaisses"" target=""_blank"">20 engagements pour les quartiers et territoires délaissés</a>, François Hollande précise qu&#39;une filiale de la banque sera&nbsp;chargée de soutenir et de développer les projets d&rsquo;entreprises des habitants des quartiers.</p>
",trahi,"<p>Un <a href=""http://leplus.nouvelobs.com/contribution/226206-conflit-d-interets-enfin-les-politiques-ne-deviendront-plus-avocats-aussi-facilement.html"" target=""_blank"">décret du 15 avril 2013</a> supprime le décret-passerelle, mais ne fait aucune mention du nouvel examen de déontologie. Il n&#39;existe donc plus d&#39;accès privilégié à la profession pour les politiques.</p>
",rien,"<p>Le débat sans vote au Parlement n&#39;a pas eu lieu au premier trimestre. Il est <a href=""http://www.lemonde.fr/societe/article/2013/04/10/immigration-economique-l-executif-veut-ouvrir-le-debat-sur-l-attractivite-du-pays_3157184_3224.html"" target=""_blank"">prévu</a> pour les 16 et 24 avril à l&#39;Assemblée et au Sénat.</p>
",14,François Hollande
18,"<p>Droit au mariage pour les couples homosexuels</p>
",60 engagements,"<p>Source : <a href=""http://www.scribd.com/doc/93200567/Les-60-engagements-presidentiels-de-Francois-Hollande"" target=""_blank"">Programme de François Hollande, p. 21</a>.</p>
",trahi,"<p>Un <a href=""http://leplus.nouvelobs.com/contribution/226206-conflit-d-interets-enfin-les-politiques-ne-deviendront-plus-avocats-aussi-facilement.html"" target=""_blank"">décret du 15 avril 2013</a> supprime le décret-passerelle, mais ne fait aucune mention du nouvel examen de déontologie. Il n&#39;existe donc plus d&#39;accès privilégié à la profession pour les politiques.</p>
",rien,"<p>Le débat sans vote au Parlement n&#39;a pas eu lieu au premier trimestre. Il est <a href=""http://www.lemonde.fr/societe/article/2013/04/10/immigration-economique-l-executif-veut-ouvrir-le-debat-sur-l-attractivite-du-pays_3157184_3224.html"" target=""_blank"">prévu</a> pour les 16 et 24 avril à l&#39;Assemblée et au Sénat.</p>
",14,François Hollande
19,"<p>Droit à l&rsquo;adoption pour les couples homosexuels</p>
",60 engagements,"<p>Source : <a href=""http://www.scribd.com/doc/93200567/Les-60-engagements-presidentiels-de-Francois-Hollande"" target=""_blank"">Programme de François Hollande, p. 21</a>.</p>
",trahi,"<p>Un <a href=""http://leplus.nouvelobs.com/contribution/226206-conflit-d-interets-enfin-les-politiques-ne-deviendront-plus-avocats-aussi-facilement.html"" target=""_blank"">décret du 15 avril 2013</a> supprime le décret-passerelle, mais ne fait aucune mention du nouvel examen de déontologie. Il n&#39;existe donc plus d&#39;accès privilégié à la profession pour les politiques.</p>
",rien,"<p>Le débat sans vote au Parlement n&#39;a pas eu lieu au premier trimestre. Il est <a href=""http://www.lemonde.fr/societe/article/2013/04/10/immigration-economique-l-executif-veut-ouvrir-le-debat-sur-l-attractivite-du-pays_3157184_3224.html"" target=""_blank"">prévu</a> pour les 16 et 24 avril à l&#39;Assemblée et au Sénat.</p>
",14,François Hollande
21,Garantir l'existence d'un volet handicap dans chaque loi,60 engagements,"<p>Source : <a href=""http://www.scribd.com/doc/93200567/Les-60-engagemets-presidentiels-de-Francois-Hollande"" target=""_blank"">Programme de François Hollande, p. 22</a>.</p>
",trahi,"<p>Un <a href=""http://leplus.nouvelobs.com/contribution/226206-conflit-d-interets-enfin-les-politiques-ne-deviendront-plus-avocats-aussi-facilement.html"" target=""_blank"">décret du 15 avril 2013</a> supprime le décret-passerelle, mais ne fait aucune mention du nouvel examen de déontologie. Il n&#39;existe donc plus d&#39;accès privilégié à la profession pour les politiques.</p>
",rien,"<p>Le débat sans vote au Parlement n&#39;a pas eu lieu au premier trimestre. Il est <a href=""http://www.lemonde.fr/societe/article/2013/04/10/immigration-economique-l-executif-veut-ouvrir-le-debat-sur-l-attractivite-du-pays_3157184_3224.html"" target=""_blank"">prévu</a> pour les 16 et 24 avril à l&#39;Assemblée et au Sénat.</p>
",14,François Hollande
22,"Renforcer les sanctions en cas de non-respect des 6% de travailleurs handicapés dans les entreprises, les services publics et les collectivités locales.",60 engagements,"http://www.scribd.com/doc/93200567/Les-60-engagemets-presidentiels-de-Francois-Hollande
Programme de François Hollande p.22",trahi,"<p>Un <a href=""http://leplus.nouvelobs.com/contribution/226206-conflit-d-interets-enfin-les-politiques-ne-deviendront-plus-avocats-aussi-facilement.html"" target=""_blank"">décret du 15 avril 2013</a> supprime le décret-passerelle, mais ne fait aucune mention du nouvel examen de déontologie. Il n&#39;existe donc plus d&#39;accès privilégié à la profession pour les politiques.</p>
",rien,"<p>Le débat sans vote au Parlement n&#39;a pas eu lieu au premier trimestre. Il est <a href=""http://www.lemonde.fr/societe/article/2013/04/10/immigration-economique-l-executif-veut-ouvrir-le-debat-sur-l-attractivite-du-pays_3157184_3224.html"" target=""_blank"">prévu</a> pour les 16 et 24 avril à l&#39;Assemblée et au Sénat.</p>
",14,François Hollande
