RP,Nom du parlementaire,Bénéficiaire,Pays,Somme,Programme,Programme détaillé,Année
AN,ACCOYER,Délégation générale de l'Alliance Française ,Brésil,20000,185-02,Coopération culturelle et promotion du français,2011
AN,ACCOYER,Echange Sahel,,10000,209-02,Développement - Coopération bilatérale,2011
AN,AESCHLIMANN,Rotary Club d'Asnières,,1000,209-02,Développement - Coopération bilatérale,2011
AN,ANCIAUX,Tout dans la 4L,,1000,209-02,Développement - Coopération bilatérale,2011
AN,ANTIER                 (N),L'ENVOL - centre médicalisé de loisirs en France pour enfants européens,,60000,209-02,Développement - Coopération bilatérale,2011
S,ARTHUIS,Ambassade de France en Russie,Russie,40000,185-02,Coopération culturelle et promotion du français,2011
S,ARTHUIS,Consulat de Murcie,Espagne,5000,185-02,Coopération culturelle et promotion du français,2011
S,ASSOULINE          (N),Réunion-Dagana,Sénégal,20000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,AURILLAC            (N),"DEFAP - 
Service protestant de mission",,50000,209-02,Développement - Coopération bilatérale,2011
AN,AURILLAC            (N),Les Mains Ouvertes               ,Vietnam,40000,209-02,Développement - Coopération bilatérale,2011
AN,BATTISTEL,Parrainage enfants Calcutta,Inde,1000,209-02,Développement - Coopération bilatérale,2011
S,BEL,Cuba Coopération,Cuba,15000,185-02,Coopération culturelle et promotion du français,2011
AN,BIGNON,Les 4L du Cœur,,2000,209-02,Développement - Coopération bilatérale,2011
S,BOTREL                (N),Tansab'eau              PUIT POUR UN VILLAGE,Burkina Faso,1000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
AN,BOURRAGUE         (N),Coup de Soleil          A LA RENCONTRE DU MAGHREB,,3000,209-02,Développement - Coopération bilatérale,2011
AN,BOUVARD             (N),Entente La Gacilly-Diapaga         ,Burkina Faso,3000,209-02,Développement - Coopération bilatérale,2011
AN,BOUVARD  Loïc          (N),"Association pour la Solidarité et  la Promotion des 
Mitsamiouliens  en France (ASPMF)   GRANDE COMORE",Comores,10000,209-02,Développement - Coopération bilatérale,2011
AN,BOYER                   (N),La Flamme d'Harmattan,,2000,209-02,Développement - Coopération bilatérale,2011
AN,BRANGET              (N),Vel'Horizon Samson   ENFANTS HOSPITALISES AU CHU DE BESANCON,,1000,209-02,Développement - Coopération bilatérale,2011
AN,BRANGET              (N),Brulard Ensemble        EPICERIE SOCIALE A BESANCON,,2000,209-02,Développement - Coopération bilatérale,2011
AN,BRARD,AFAK-Asso fr d'appui au développement de la région de Kayes (Mali),,95000,209-02,Développement - Coopération bilatérale,2011
AN,BRUNEL,"Echanges internationaux pour le développement et la coopération (ECIDEC)
COLLECTEUR D'EPARGNE SOLIDAIRE - RESEAU ""COUP DE POUCE"" ",,5000,209-02,Développement - Coopération bilatérale,2011
AN,BRUNEL,Association des Khmers de Bussy-Saint-Georges (AKB),Cambodge,5000,209-02,Développement - Coopération bilatérale,2011
AN,BRUNEL,Association franco-haïtienne (Roissy-en-Brie) - Seine et Marne,Haïti,3000,209-02,Développement - Coopération bilatérale,2011
AN,CALVET,Comité départemental coopération décentralisée    (CDCD) {+ IRLES  1.000 € }                   ,,2000,209-02,Développement - Coopération bilatérale,2011
AN,CALVET,Soler Sénégal Soleil,Sénégal,2000,209-02,Développement - Coopération bilatérale,2011
AN,CALVET,Pezilla Solidarité,Madagascar,1500,209-02,Développement - Coopération bilatérale,2011
S,CAMBON              (N),Lycée Marc Chagall de Tel Aviv  COLLEGE,Israël,15000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,CANTEGRIT,Courrier Australien                                  ,Australie,10000,185-02,Coopération culturelle et promotion du français,2011
S,CANTEGRIT,"Ecole française de Vancouver
 Ecole française internationale - NORTH VANCOUVER",Canada,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,CANTEGRIT,Hôpital Saint-Louis d'Alep,Syrie,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,CANTEGRIT,"Association SOS international  ""SOS PAPA INTERNATIONAL""",,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,CANTEGRIT,Assocation Haïti Partenaires France Europe,Haïti,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,CANTEGRIT,Société d'entraide de la Légion d'honneur Caracas,Vénézuela,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,CANTEGRIT,Société d'histoire de l'Ile Maurice,Ile MAURICE,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,CANTEGRIT,Société de l'hôpital Notre Dame de la Paix à Kobayat ,Liban,20000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,CARAYON,Les Enfants de Tana-Maza,,1000,209-02,Développement - Coopération bilatérale,2011
AN,CARREZ,Citées Unies France,,50000,209-02,Développement - Coopération bilatérale,2011
S,CERISIER BEN GUIGA,Amis de la french ABC   AUX Etats-Unis MAIS RIB EN France,Etats-Unis,20000,185-02,Coopération culturelle et promotion du français,2011
S,CERISIER BEN GUIGA,Lycée franco costaricien               ,Costa Rica,17500,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,CERISIER BEN GUIGA,Association Véronique                  en France                                    ,,30000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,CHEVENEMENT   Prés.,Fondation Res Publica,,50000,185-04,Diplomatie culturelle et d'influence - Attractivité et recherche,2011
,CHEVENEMENT   Prés.,Amendement parlementaire,,10000,151,Français de l'étranger et affaires consulaires,2011
AN,CHOSSY              (N),Association franco-camerounaise BIAGNE,Cameroun,10000,209-02,Développement - Coopération bilatérale,2011
AN,CHRIST                (N),Association de charité Sainte-Véronique                                                  ,,5000,209-02,Développement - Coopération bilatérale,2011
AN,CINIERI                 (N),Easy smile,,1000,209-02,Développement - Coopération bilatérale,2011
AN,CINIERI                 (N),Jumelage Sunset-St Paul en Cornillon,,1000,209-02,Développement - Coopération bilatérale,2011
AN,COCHET,Association pour les échanges et la coopération entre Lyon et Erevan,Arménie,1000,209-02,Développement - Coopération bilatérale,2011
S,COINTAT,Chambre franco-centroaméricaine      ,Costa Rica,12500,185-02,Coopération culturelle et promotion du français,2011
S,COINTAT,Lycée franco-costaricien             ,Costa Rica,22918,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,COINTAT,Lycée français Jules Verne   ,Guatemala,30400,185-05,Diplomatie culturelle et d'influence - AEFE,2011
